Line #	Activity	Description	Performer	ICOM	
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 19:  Build initial ETL pipelines
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ As-Is Process Map/ Data Source Map/ User Stories/ Knowledge Map/ Data & Content Analysis/ SME Interview/ Data Disctrionary/ Data Wireframe/ DUA"
19	 Build initial ETL pipelines	Identify key data sources/ Build initial ETL pipelines to ingest data from identified sources into the data platform.	Data Engineer SME	I:	Step 18: Validate key data sources
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 20: Perform Data Integration/ Collaborate with Project Lead to establish DUAs
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Dictionary/ Data Wireframe/ DUA/ Data Pipeline"
20	Perform Data Integration/ Collaborate with Project Lead to establish DUAs	Use data validation insights to determine feasibility for data integration. Evaluate the quality and completeness of data sources on their suitability for robust data modeling. / Collaborate with Project Lead to establish DUAs	ORSA/Data Scientist SME	I:	Step 19:  Build initial ETL pipelines
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 21: All Requirements Met?
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Dictionary/ Data Wireframe/ DUA/ Data Pipeline"
21	All Requirements Met?	"Decision Point:
DEC OPS Branch Chief and Project Lead determines if all aspects of Data Provisioning have been satisfied.

If Yes, proceed to Step 22
If No, proceed to Step 15"	"DEC OPS Branch Chief
Project Lead"	I:	Step 20: Perform Data Integration/ Collaborate with Project Lead to establish DUAs
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 22: Perform Toll Gate Review
No, Step 15: Initiate Data Provisioning Phase"
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Dictionary/ Data Wireframe/ DUA/ Data Pipeline"
